Municipality,Charging_stations
Albares,0
Albarracín,0
Albarreal De Tajo,0
Albatana,0
Albatera,0
Albatàrrec,1
Albelda,0
Albelda De Iregua,0
Albendea,0
Albendiego,0
Albentosa,1
Alberic,0
Alberite,0
Alberite De San Juan,0
Albero Alto,0
Albero Bajo,0
Alberuela De Tubo,0
Albesa,0
Albeta,0
Albillos,0
Albinyana,0
Albiztur,0
Albocàsser,0
Alboloduy,0
Albolote,0
Albondón,0
Albons,0
Alborache,0
Alboraia/Alboraya,1
Alborea,0
Alborge,0
Albornos,0
Albox,0
Albudeite,0
Albuixech,0
Alburquerque,0
Albuñol,0
Albuñuelas,0
Albuñán,0
Alcabón,0
Alcadozo,0
Alcaine,0
Alcalalí,0
Alcalà De Xivert,1
Alcalá De Ebro,0
Alcalá De Guadaíra,1
Alcalá De Gurrea,0
Alcalá De Henares,3
Alcalá De La Selva,0
Alcalá De La Vega,0
Alcalá De Los Gazules,0
Alcalá De Moncayo,0
Alcalá Del Júcar,0
Alcalá Del Obispo,0
Alcalá Del Río,0
Alcalá Del Valle,0
Alcalá La Real,0
Alcampell,0
Alcanadre,0
Alcanar,1
Alcantarilla,0
Alcantud,0
Alcanó,0
Alcaracejos,0
Alcaraz,0
Alcarràs,1
Alcaucín,0
Alcaudete,0
Alcaudete De La Jara,0
Alcazarén,0
Alcañices,0
Alcañiz,0
Alcañizo,0
Alcoba,0
Alcobendas,2
Alcocer,0
Alcocero De Mola,0
Alcohujate,0
Alcoi/Alcoy,3
Alcolea,0
Alcolea De Calatrava,0
Alcolea De Cinca,0
Alcolea De Las Peñas,0
Alcolea De Tajo,0
Alcolea Del Pinar,0
Alcolea Del Río,0
Alcoleja,0
Alcoletge,0
Alcollarín,0
Alconaba,0
Alconada,0
Alconada De Maderuelo,0
Alconchel,0
Alconchel De Ariza,0
Alconchel De La Estrella,0
Alconera,0
Alcorcón,1
Alcorisa,0
Alcoroches,0
Alcosser,0
Alcover,2
Alcubierre,0
Alcubilla De Avellaneda,0
Alcubilla De Las Peñas,0
Alcubilla De Nogales,0
Alcubillas,0
Alcublas,0
Alcudia De Monteagud,0
Alcudia De Veo,0
Alcuéscar,0
Alcàntera De Xúquer,0
Alcàsser,0
Alcántara,0
Alcázar De San Juan,0
Alcázar Del Rey,0
Alcóntar,0
Alcúdia,1
Aldaia,2
Aldea De San Miguel,0
Aldea Del Cano,0
Aldea Del Fresno,0
Aldea Del Obispo,0
Aldea Del Rey,0
Aldea En Cabo,0
Aldea Real,0
Aldeacentenera,0
Aldeacipreste,0
Aldeadávila De La Ribera,0
Aldealafuente,0
Aldealcorvo,0
Aldealengua,0
Aldealengua De Pedraza,0
Aldealengua De Santa María,0
Aldealices,0
Aldealpozo,0
Aldealseñor,0
Aldeamayor De San Martín,0
Aldeanueva De Barbarroya,0
Aldeanueva De Ebro,0
Aldeanueva De Figueroa,0
Aldeanueva De Guadalajara,0
Aldeanueva De La Serrezuela,0
Aldeanueva De La Sierra,0
Aldeanueva De La Vera,0
Aldeanueva De San Bartolomé,0
Aldeanueva De Santa Cruz,0
Aldeanueva Del Camino,0
Aldeanueva Del Codonal,0
Aldeaquemada,0
Aldearrodrigo,0
Aldearrubia,0
Aldeaseca,0
Aldeaseca De Alba,0
Aldeaseca De La Frontera,0
Aldeasoña,0
Aldeatejada,0
Aldeavieja De Tormes,0
Aldehorno,0
Aldehuela De Jerte,0
Aldehuela De La Bóveda,0
Aldehuela De Liestos,0
Aldehuela De Periáñez,0
Aldehuela De Yeltes,0
Aldehuela Del Codonal,0
Aldeire,0
Aldeonte,0
Aldover,0
Aldovera,0
Aledo,0
Alegia,0
Alegría-Dulantzi,0
Alella,1
Alentisque,0
Alerre,0
Alesanco,0
Alesón,0
Alfacar,0
Alfafar,0
Alfafara,0
Alfajarín,0
Alfambra,0
Alfamén,0
Alfara De Carles,0
Alfara De La Baronia,0
Alfara Del Patriarca,0
Alfaraz De Sayago,0
Alfarnate,0
Alfarnatejo,0
Alfaro,0
Alfarp,0
Alfarrasí,0
Alfarràs,1
Alfauir,0
Alfondeguilla,0
Alforja,1
Alforque,0
Alfoz,0
Alfoz De Bricia,0
Alfoz De Lloredo,0
Alfoz De Quintanadueñas,0
Alfoz De Santa Gadea,0
Alfántega,0
Alfés,1
Algadefe,0
Algaida,4
Algar,0
Algar De Mesa,0
Algar De Palancia,0
Algarinejo,0
Algarra,0
Algarrobo,0
Algatocín,0
Algeciras,0
Algemesí,0
Algerri,0
Algete,2
Algimia De Almonacid,0
Alginet,0
Algodonales,0
Algodre,0
Algora,0
Algorfa,0
Alguaire,1
Alguazas,0
Algueña,0
Algámitas,0
Algímia D'Alfara,0
Alhabia,0
Alhama De Almería,0
Alhama De Aragón,0
Alhama De Granada,3
Alhama De Murcia,1
Alhambra,0
Alhaurín De La Torre,0
Alhaurín El Grande,0
Alhendín,0
Alhóndiga,0
Aliaga,0
Aliaguilla,0
Alicún,0
Alicún De Ortega,0
Alija Del Infantado,0
Alins,0
Alique,0
Aliseda,0
Aliud,0
Alió,0
Aljaraque,0
Aljucén,0
Alkiza,0
Allande,0
Allariz,0
Allepuz,0
Aller,0
Allo,0
Alloza,0
Allueva,0
Allín/Allin,0
Almacelles,0
Almadenejos,0
Almadrones,0
Almadén,0
Almadén De La Plata,0
Almagro,0
Almajano,0
Almaluez,0
Almansa,0
Almanza,0
Almaraz,1
Almaraz De Duero,0
Almargen,0
Almarza,0
Almarza De Cameros,0
Almassora,0
Almatret,0
Almazul,0
Almazán,1
Almedina,0
Almedinilla,0
Almedíjar,0
Almegíjar,0
Almeida De Sayago,0
Almenar,0
Almenar De Soria,0
Almenara,0
Almenara De Adaja,0
Almenara De Tormes,0
Almendra,0
Almendral,0
Almendral De La Cañada,0
Almendralejo,1
Almendros,0
Almensilla,0
Almería,4
Almiserà,0
Almochuel,0
Almodóvar Del Campo,0
Almodóvar Del Pinar,0
Almodóvar Del Río,0
Almoguera,0
Almogía,0
Almohaja,0
Almoharín,0
Almoines,0
Almonacid De La Cuba,0
Almonacid De La Sierra,0
Almonacid De Toledo,0
Almonacid De Zorita,0
Almonacid Del Marquesado,0
Almonaster La Real,0
Almonte,0
Almoradí,0
Almorox,0
Almoster,0
Almudaina,0
Almudévar,0
Almunia De San Juan,0
Almuniente,0
Almuradiel,0
Almussafes,0
Almuñécar,0
Almàssera,0
Almáchar,0
Almócita,0
Alobras,0
Alocén,0
Alonsotegi,0
Alosno,0
Alovera,1
Alozaina,0
Alp,0
Alpandeire,0
Alpanseque,0
Alpartir,0
Alpedrete,0
Alpens,0
Alpera,0
Alpeñés,0
Alpicat,0
Alpuente,0
Alpujarra De La Sierra,0
Alquife,0
Alquézar,1
Alsodux,0
Alt Àneu,0
Altable,0
Altafulla,0
Altarejos,0
Altea,3
Altorricón,0
Altsasu/Alsasua,0
Altura,0
Altzaga,0
Altzo,0
Alustante,0
Alzira,0
Alàs I Cerc,0
Alájar,0
Alía,0
Alòs De Balaguer,0
Amavida,0
Amayuelas De Arriba,0
Ambel,0
Ambite,0
Amer,3
Ames,0
Ameyugo,0
Amezketa,0
Amieva,1
Amoeiro,0
Amorebieta-Etxano,2
Amoroto,0
Amposta,1
Ampudia,0
Ampuero,0
Amurrio,0
Amusco,0
Amusquillo,0
Améscoa Baja,0
Anadón,0
Anaya,0
Anaya De Alba,0
Anchuelo,0
Anchuras,0
Ancín/Antzin,0
Andavías,0
Andilla,0
Andoain,4
Andorra,0
Andosilla,0
Andratx,0
Andújar,0
Anento,0
Anglesola,0
Anglès,0
Anguciana,0
Anguiano,0
Anguita,0
Anguix,0
Angón,0
Angüés,0
Anievas,0
Aniñón,0
Anna,0
Anoeta,0
Anquela Del Ducado,0
Anquela Del Pedregal,0
Ansoáin/Antsoain,0
Ansó,0
Antas,0
Antas De Ulla,0
Antella,0
Antequera,1
Antigua,0
Antigüedad,0
Antillón,0
Antzuola,0
Anue,0
Aoiz/Agoitz,0
Arabayona De Mógica,0
Aracena,2
Arafo,0
Aragüés Del Puerto,0
Arahal,0
Arahuetes,0
Araitz,0
Arakaldo,0
Arakil,0
Arama,0
Aramaio,0
Aranarache/Aranaratxe,0
Arancón,0
Aranda De Duero,4
Aranda De Moncayo,0
Arandilla,0
Arandilla Del Arroyo,0
Aranga,0
Aranguren,0
Aranjuez,0
Arano,0
Arantza,0
Arantzazu,0
Aranzueque,0
Arapiles,0
Aras,0
Aras De Los Olmos,0
Arauzo De Miel,0
Arauzo De Salce,0
Arauzo De Torre,0
Arañuel,0
Arbancón,0
Arbeca,1
Arbeteta,0
Arbizu,0
Arbo,0
Arboleas,0
Arbolí,0
Arbúcies,0
Arcas,0
Arce/Artzi,0
Arcediano,0
Arcenillas,0
Archena,0
Archidona,0
Arcicóllar,0
Arconada,0
Arcones,0
Arcos,0
Arcos De Jalón,0
Arcos De La Frontera,0
Arcos De La Polvorosa,0
Arcos De La Sierra,0
Arcos De Las Salinas,0
Ardales,0
Ardisa,0
Ardón,0
Areatza,0
Arellano,0
Arenales De San Gregorio,0
Arenas,0
Arenas De Iguña,0
Arenas De San Juan,0
Arenas De San Pedro,0
Arenas Del Rey,0
Arenillas,0
Arenillas De Riopisuerga,0
Arens De Lledó,0
Arenys De Mar,0
Arenys De Munt,2
Arenzana De Abajo,0
Arenzana De Arriba,0
Ares,0
Ares Del Maestrat,0
Areso,0
Aretxabaleta,0
Arevalillo,0
Arevalillo De Cega,0
Argamasilla De Alba,0
Argamasilla De Calatrava,0
Arganda Del Rey,0
Arganza,0
Argavieso,0
Argañín,0
Argecilla,0
Argelaguer,0
Argelita,0
Argente,0
Argentona,0
Argençola,0
Argoños,0
Arguedas,1
Arguis,0
Arguisuelas,0
Argujillo,0
Argés,0
Aria,0
Ariany,0
Aribe,0
Arico,0
Arija,1
Ariza,5
Ariño,0
Arjona,0
Arjonilla,0
Arlanzón,0
Armallones,0
Armañanzas,0
Armenteros,0
Armilla,0
Armiñón,0
Armuña,0
Armuña De Almanzora,0
Armuña De Tajuña,0
Arnedillo,0
Arnedo,0
Arnes,0
Arnuero,0
Aroche,0
Arona,0
Arquillinos,0
Arquillos,0
Arrabalde,0
Arraia-Maeztu,0
Arrancacepas,0
Arrankudiaga-Zollo,0
Arrasate/Mondragón,0
Arratzu,0
Arratzua-Ubarrundia,0
Arraya De Oca,0
Arrecife,0
Arredondo,0
Arres,0
Arriate,0
Arrieta,0
Arrigorriaga,0
Arroba De Los Montes,0
Arroyo De La Encomienda,3
Arroyo De La Luz,0
Arroyo De Las Fraguas,0
Arroyo De San Serván,0
Arroyo Del Ojanco,0
Arroyomolinos,0
Arroyomolinos De La Vera,0
Arroyomolinos De León,0
Arruazu,0
Arróniz,0
Arrúbal,0
Arsèguel,0
Artajona,0
Artana,1
Artazu,0
Artea,0
Arteixo,2
Artenara,0
Artesa De Lleida,0
Artesa De Segre,0
Artieda,1
Artzentales,0
Artziniega,0
Artà,0
Artés,1
Arucas,0
Arzúa,0
Arándiga,0
Arén,0
Arévalo,1
Arévalo De La Sierra,0
As Neves,0
As Nogais,0
As Pontes De García Rodríguez,0
As Somozas,0
Ascó,1
Aspa,0
Aspariegos,0
Asparrena,0
Aspe,0
Asteasu,0
Astigarraga,1
Astorga,0
Astudillo,0
Asturianos,0
Asín,0
Atajate,0
Atalaya,0
Atalaya Del Cañavate,2
Atanzón,0
Atapuerca,0
Ataquines,0
Atarfe,0
Ataun,0
Atea,0
Ateca,0
Atez/Atetz,0
Atienza,1
Atxondo,0
Atzeneta D'Albaida,0
Atzeneta Del Maestrat,0
Aulesti,0
Auritz/Burguete,0
Ausejo,0
Ausejo De La Sierra,0
Autilla Del Pino,0
Autillo De Campos,0
Autol,0
Auñón,0
Aveinte,0
Avellaneda,0
Avellanosa De Muñó,0
Avilés,0
Avinyonet De Puigventós,0
Avinyonet Del Penedès,0
Avinyó,0
Avià,1
Avión,0
Ayala/Aiara,0
Ayamonte,0
Ayegui/Aiegi,0
Ayerbe,0
Ayllón,0
Ayna,0
Ayora,0
Ayoó De Vidriales,0
Ayuela,0
Ayódar,0
Azagra,0
Azaila,0
Azanuy-Alins,0
Azara,0
Azkoitia,0
Azlor,0
Aznalcázar,0
Aznalcóllar,0
Azofra,0
Azpeitia,0
Azuaga,0
Azuara,0
Azuelo,0
Azuqueca De Henares,0
Azután,0
Azuébar,0
Aín,0
Aínsa-Sobrarbe,0
Añana,0
Añe,0
Añora,0
Añorbe,0
Añover De Tajo,0
Añover De Tormes,0
Añón De Moncayo,0
Babilafuente,0
Bacares,1
Badajoz,1
Badalona,0
Badarán,0
Badia Del Vallès,1
Badolatosa,0
Badules,0
Baena,0
Baeza,0
Bagà,0
Bagüés,0
Bahabón,0
Bahabón De Esgueva,0
Baides,0
Bailo,0
Bailén,0
Baiona,0
Baix Pallars,0
Bakaiku,0
Bakio,1
Balaguer,1
Balanegra,0
Balazote,0
Balboa,0
Balconchán,0
Baldellou,0
Baleira,0
Balenyà,0
Baliarrain,0
Ballesteros De Calatrava,0
Ballobar,0
Balmaseda,0
Balones,0
Balsa De Ves,0
Balsareny,0
Baltanás,0
Baltar,0
Banastás,0
Bande,0
Banyalbufar,0
Banyeres De Mariola,0
Banyeres Del Penedès,0
Banyoles,0
Baquerín De Campos,0
Barajas De Melo,0
Barakaldo,2
Baralla,0
Baraona,0
Barañáin/Barañain,0
Barbadillo,0
Barbadillo De Herreros,0
Barbadillo Del Mercado,0
Barbadillo Del Pez,0
Barbadás,0
Barbalos,0
Barbarin,0
Barbastro,1
Barbate,0
Barbens,0
Barberà De La Conca,0
Barberà Del Vallès,1
Barbolla,0
Barbués,0
Barbuñales,0
Barca,0
Barcarrota,0
Barcelona,78
Barceo,0
Barchín Del Hoyo,0
Barcial De La Loma,0
Barcial Del Barco,0
Barcience,0
Barcones,0
Bardallur,0
Bardenas Reales,0
Bareyo,0
Bargas,0
Bargota,0
Barillas,0
Barjas,0
Barlovento,0
Barracas,0
Barrachina,0
Barrado,0
Barrax,0
Barreiros,0
Barrika,0
Barrio De Muñó,0
Barriopedro,0
Barrios De Colina,0
Barro,0
Barromán,0
Barruecopardo,0
Barruelo De Santullán,0
Barruelo Del Valle,0
Barrundia,0
Barx,0
Barxeta,0
Barásoain,0
Basaburua,0
Basardilla,0
Basauri,0
Basconcillos Del Tozo,0
Bascuñana,0
Bascuñana De San Pedro,0
Bassella,1
Batea,0
Baterno,0
Batres,0
Bausen,0
Bayarque,0
Bayubas De Abajo,0
Bayubas De Arriba,0
Bayárcal,0
Baza,0
Baztan,0
Baélls,0
Bañares,0
Bañobárez,0
Baños De Ebro/Mañueta,0
Baños De La Encina,0
Baños De Molgas,0
Baños De Montemayor,0
Baños De Rioja,0
Baños De Río Tobía,0
Baños De Tajo,0
Baños De Valdearados,0
Bañuelos,0
Bañuelos De Bureba,0
Bañón,0
Bea,0
Beade,0
Beamud,0
Beariz,0
Beas,0
Beas De Granada,0
Beas De Guadix,0
Beas De Segura,0
Beasain,0
Becedas,0
Becedillas,0
Beceite,0
Becerreá,0
Becerril De Campos,0
Becerril De La Sierra,0
Becilla De Valderaduey,0
Bedia,0
Bedmar Y Garcíez,0
Begonte,1
Begues,0
Begur,0
Begíjar,0
Beintza-Labaien,0
Beire,0
Beires,0
Beizama,0
Bejís,0
Belalcázar,0
Belascoáin,0
Belauntza,0
Belbimbre,0
Belchite,0
Beleña,0
Belianes,0
Belinchón,0
Bell-Lloc D'Urgell,0
Bellaguarda,0
Bellcaire D'Empordà,0
Bellcaire D'Urgell,1
Bellmunt D'Urgell,0
Bellmunt Del Priorat,0
Bello,0
Bellprat,0
Bellpuig,0
Bellreguard,0
Bellvei,0
Bellver De Cerdanya,1
Bellvís,0
Bellús,0
Belmez,0
Belmonte,0
Belmonte De Campos,0
Belmonte De Gracián,0
Belmonte De Miranda,0
Belmonte De San José,0
Belmonte De Tajo,0
Belmontejo,0
Belorado,0
Belver De Cinca,0
Belver De Los Montes,0
Belvís De La Jara,0
Belvís De Monroy,0
Bembibre,1
Benabarre,1
Benacazón,0
Benadalid,0
Benafarces,0
Benafer,0
Benafigos,0
Benaguasil,0
Benagéber,0
Benahadux,0
Benahavís,2
Benalauría,0
Benalmádena,0
Benalup-Casas Viejas,0
Benalúa,0
Benalúa De Las Villas,0
Benamargosa,0
Benamaurel,0
Benamejí,0
Benamocarra,0
Benaocaz,0
Benaoján,0
Benarrabá,1
Benasau,0
Benasque,5
Benassal,1
Benatae,0
Benavent De Segrià,0
Benavente,4
Benavides,0
Benavites,0
Benegiles,0
Beneixama,0
Beneixida,0
Benejúzar,0
Benetússer,0
Benferri,0
Beniarbeig,0
Beniardà,0
Beniarjó,0
Beniarrés,0
Beniatjar,0
Benicarló,1
Benicolet,0
Benicull De Xúquer,0
Benicàssim/Benicasim,0
Benidoleig,0
Benidorm,3
Beniel,0
Benifairó De La Valldigna,0
Benifairó De Les Valls,0
Benifaió,0
Benifallet,0
Benifallim,0
Benifato,0
Beniflá,0
Benigembla,0
Benigànim,0
Benijófar,0
Benilloba,0
Benillup,0
Benimantell,0
Benimarfull,0
Benimassot,0
Benimeli,0
Benimodo,0
Benimuslem,0
Beniparrell,0
Benirredrà,0
Benissa,3
Benissanet,0
Benissanó,0
Benissoda,0
Benissuera,0
Benitagla,0
Benizalón,0
Benlloc,0
Benquerencia,0
Benquerencia De La Serena,0
Bentarique,0
Benuza,0
Bera,0
Berango,0
Berantevilla,0
Beranuy,0
Berastegi,0
Beratón,0
Berbegal,0
Berberana,0
Berbinzana,0
Berceo,0
Bercero,0
Berceruelo,0
Bercial,0
Bercial De Zapardiel,0
Bercianos Del Páramo,0
Bercianos Del Real Camino,0
Bercimuel,0
Berdejo,0
Berga,2
Bergara,1
Bergasa,0
Bergasillas Bajera,0
Berge,0
Bergondo,0
Beriáin,0
Berja,0
Berlanga,0
Berlanga De Duero,0
Berlanga Del Bierzo,0
Berlangas De Roa,0
Bermellar,0
Bermeo,0
Bermillo De Sayago,0
Bernardos,0
Bernedo,0
Berninches,0
Bernuy De Porreros,0
Bernuy-Zapardiel,0
Berriatua,0
Berrioplano/Berriobeiti,0
Berriozar,0
Berriz,0
Berrobi,0
Berrocal,0
Berrocal De Huebra,0
Berrocal De Salvatierra,0
Berrocalejo,0
Berrocalejo De Aragona,0
Berrueces,0
Berrueco,0
Bertizarana,0
Berzocana,0
Berzosa De Bureba,0
Berzosa Del Lozoya,0
Berzosilla,0
Besalú,1
Bescanó,0
Betancuria,0
Betanzos,0
Betelu,0
Beteta,0
Betxí,0
Beuda,1
Bezares,0
Bezas,0
Biar,1
Bicorp,0
Bidania-Goiatz,0
Bidaurreta,0
Biel,0
Bielsa,0
Bienservida,0
Bienvenida,0
Bierge,0
Biescas,1
Bigastro,0
Bigues I Riells Del Fai,0
Bijuesca,0
Bilbao,10
Bimenes,0
Binaced,0
Binissalem,1
Binéfar,0
Biosca,0
Biota,0
Bisaurri,0
Biscarrués,0
Bisimbre,0
Biure,0
Biurrun-Olcoz,0
Blacos,0
Blanca,0
Blancafort,0
Blancas,0
Blanes,0
Blascomillán,0
Blasconuño De Matacabras,0
Blascosancho,0
Blecua Y Torres,0
Blesa,0
Bliecos,0
Boada,0
Boada De Campos,0
Boadella I Les Escaules,0
Boadilla De Rioseco,0
Boadilla Del Camino,0
Boadilla Del Monte,7
Boal,0
Bobadilla,0
Bobadilla Del Campo,0
Boborás,0
Boca De Huérgano,0
Bocairent,1
Boceguillas,0
Bocigas,0
Bocos De Duero,0
Bodonal De La Sierra,0
Boecillo,0
Bogajo,0
Bogarra,0
Bohonal De Ibor,0
Bohoyo,0
Boimorto,0
Boiro,0
Bolaños De Calatrava,0
Bolaños De Campos,0
Bolbaite,0
Bollullos De La Mitación,0
Bollullos Par Del Condado,0
Boltaña,0
Bolulla,0
Bolvir,0
Bonansa,0
Bonares,0
Bonastre,0
Bonete,0
Boniches,0
Bonilla De La Sierra,0
Bonrepòs I Mirambell,0
Boqueixón,0
Boquiñeni,0
Borau,0
Bordalba,0
Bordils,0
Bordón,0
Borja,0
Borjabad,0
Bormujos,1
Bornos,0
Borobia,0
Borox,0
Borrassà,0
Borredà,1
Borrenes,0
Borriana/Burriana,1
Borriol,0
Bossòst,0
Bot,0
Botarell,0
Botija,0
Botorrita,0
Bovera,0
Bozoó,0
Boñar,0
Brabos,0
Brahojos De Medina,0
Braojos,0
Brazacorta,1
Brazatortas,0
Brazuelo,0
Brañosera,0
Brea De Aragón,0
Brea De Tajo,0
Breda,0
Brenes,0
Bretocino,0
Bretó,0
Breña Alta,0
Breña Baja,0
Brieva,0
Brieva De Cameros,0
Brihuega,0
Brime De Sog,0
Brime De Urz,0
Brincones,0
Briones,1
Briviesca,0
Briñas,0
Brión,0
Bronchales,0
Broto,0
Brozas,0
Brunete,0
Brunyola I Sant Martí Sapresa,0
Bràfim,0
Buberos,0
Bubierca,0
Bubión,0
Buciegas,0
Budia,0
Buenache De Alarcón,0
Buenache De La Sierra,0
Buenamadre,0
Buenaventura,0
Buenavista,0
Buenavista De Valdavia,0
Buenavista Del Norte,0
Buendía,0
Bueu,0
Bueña,0
Bufali,0
Bugarra,0
Bugedo,0
Buitrago,0
Buitrago Del Lozoya,0
Bujalance,0
Bujalaro,0
Bujaraloz,0
Bularros,0
Bulbuente,0
Bullas,0
Buniel,0
Bunyola,0
Burbáguena,0
Burela,0
Bureta,0
Burganes De Valverde,0
Burgo De Osma-Ciudad De Osma,0
Burgohondo,0
Burgos,44
Burgui/Burgi,0
Burguillos,0
Burguillos De Toledo,0
Burguillos Del Cerro,0
Burjassot,0
Burlada/Burlata,0
Burujón,0
Burón,1
Busot,0
Busquístar,0
Bustares,0
Bustarviejo,0
Bustillo De Chaves,0
Bustillo De La Vega,0
Bustillo Del Oro,0
Bustillo Del Páramo,0
Bustillo Del Páramo De Carrión,0
Busto De Bureba,0
Busturia,0
Buñol,0
Buñuel,0
Bàscara,0
Bádenas,0
Báguena,0
Bárboles,0
Bárcabo,0
Bárcena De Campos,0
Bárcena De Cicero,1
Bárcena De Pie De Concha,0
Báscones De Ojeda,0
Bèlgida,0
Bédar,0
Béjar,0
Bélmez De La Moraleda,0
Bérchules,0
Bétera,0
Bóveda,0
Bóveda Del Río Almar,0
Búger,2
Cabacés,0
Caballar,0
Cabana De Bergantiños,0
Cabanabona,0
Cabanas,0
Cabanelles,0
Cabanes,1
Cabanillas,0
Cabanillas De La Sierra,0
Cabanillas Del Campo,0
Cabañas De Ebro,0
Cabañas De La Sagra,0
Cabañas De Polendos,0
Cabañas De Sayago,0
Cabañas De Yepes,0
Cabañas Del Castillo,0
Cabañas Raras,0
Cabañes De Esgueva,0
Cabeza Alta,0
Cabeza Del Buey,0
Cabeza Del Caballo,0
Cabeza La Vaca,0
Cabezabellosa,0
Cabezabellosa De La Calzada,0
Cabezamesada,0
Cabezarados,0
Cabezarrubias Del Puerto,0
Cabezas De Alambre,0
Cabezas Del Pozo,0
Cabezas Del Villar,0
Cabezas Rubias,0
Cabezuela,0
Cabezuela Del Valle,0
Cabezón De Cameros,0
Cabezón De La Sal,2
Cabezón De La Sierra,0
Cabezón De Liébana,0
Cabezón De Pisuerga,1
Cabezón De Valderaduey,0
Cabizuela,0
Cabolafuente,0
Cabra,0
Cabra De Mora,0
Cabra Del Camp,0
Cabra Del Santo Cristo,0
Cabrales,0
Cabranes,0
Cabredo,0
Cabrejas Del Campo,0
Cabrejas Del Pinar,0
Cabrera D'Anoia,0
Cabrera De Mar,2
Cabrerizos,0
Cabrero,0
Cabreros Del Monte,0
Cabreros Del Río,0
Cabrillanes,0
Cabrillas,0
Cabrils,0
Cabuérniga,0
Cabó,0
Cacabelos,0
Cachorrilla,0
Cacín,0
Cadalso,0
Cadalso De Los Vidrios,0
Cadaqués,0
Cadreita,0
Cadrete,0
Cala,0
Calabazas De Fuentidueña,0
Calaceite,0
Calaf,0
Calafell,0
Calahorra,0
Calahorra De Boedo,0
Calamocha,0
Calamonte,0
Calanda,0
Calasparra,0
Calatayud,2
Calatañazor,0
Calatorao,1
Calañas,0
Calcena,0
Caldas De Reis,0
Caldearenas,0
Calders,0
Caldes D'Estrac,1
Caldes De Malavella,1
Caldes De Montbui,5
Calella,0
Calera De León,0
Calera Y Chozas,0
Caleruega,2
Caleruela,0
Calicasas,0
Calldetenes,0
Calles,0
Callosa D'En Sarrià,0
Callosa De Segura,0
Callús,0
