Municipality,M4_raw
Aldehuela Del Codonal,0
Aldeire,0
Aldeonte,0
Aldover,0
Aldovera,0
Aledo,0
Alegia,0
Alegría-Dulantzi,3
Alella,7
Alentisque,0
Alerre,1
Alesanco,1
Alesón,0
Alfacar,15
Alfafar,3
Alfafara,0
Alfajarín,6
Alfambra,0
Alfamén,0
Alfara De Carles,0
Alfara De La Baronia,0
Alfara Del Patriarca,0
Alfaraz De Sayago,0
Alfarnate,0
Alfarnatejo,1
Alfaro,0
Alfarp,0
Alfarrasí,0
Alfarràs,2
Alfauir,1
Alfondeguilla,0
Alforja,1
Alforque,0
Alfoz,6
Alfoz De Bricia,0
Alfoz De Lloredo,4
Alfoz De Quintanadueñas,3
Alfoz De Santa Gadea,0
Alfántega,0
Alfés,0
Algadefe,0
Algaida,11
Algar,0
Algar De Mesa,0
Algar De Palancia,0
Algarinejo,0
Algarra,0
Algarrobo,5
Algatocín,1
Algeciras,34
Algemesí,0
Algerri,1
Algete,20
Algimia De Almonacid,0
Alginet,0
Algodonales,0
Algodre,0
Algora,0
Algorfa,0
Alguaire,16
Alguazas,17
Algueña,1
Algámitas,0
Algímia D'Alfara,0
Alhabia,1
Alhama De Almería,0
Alhama De Aragón,0
Alhama De Granada,0
Alhama De Murcia,3
Alhambra,0
Alhaurín De La Torre,8
Alhaurín El Grande,4
Alhendín,7
Alhóndiga,0
Aliaga,0
Aliaguilla,0
Alicún,2
Alicún De Ortega,1
Alija Del Infantado,1
Alins,2
Alique,0
Aliseda,1
Aliud,0
Alió,0
Aljaraque,7
Aljucén,1
Alkiza,0
Allande,2
Allariz,2
Allepuz,0
Aller,9
Allo,0
Alloza,0
Allueva,0
Allín/Allin,5
Almacelles,6
Almadenejos,0
Almadrones,0
Almadén,0
Almadén De La Plata,0
Almagro,0
Almajano,0
Almaluez,0
Almansa,0
Almanza,0
Almaraz,0
Almaraz De Duero,0
Almargen,0
Almarza,0
Almarza De Cameros,0
Almassora,8
Almatret,0
Almazul,1
Almazán,0
Almedina,1
Almedinilla,0
Almedíjar,0
Almegíjar,0
Almeida De Sayago,0
Almenar,3
Almenar De Soria,0
Almenara,0
Almenara De Adaja,0
Almenara De Tormes,2
Almendra,1
Almendral,0
Almendral De La Cañada,2
Almendralejo,14
Almendros,0
Almensilla,0
Almería,326
Almiserà,0
Almochuel,0
Almodóvar Del Campo,0
Almodóvar Del Pinar,0
Almodóvar Del Río,2
Almoguera,1
Almogía,1
Almohaja,0
Almoharín,0
Almoines,0
Almonacid De La Cuba,2
Almonacid De La Sierra,0
Almonacid De Toledo,0
Almonacid De Zorita,1
Almonacid Del Marquesado,1
Almonaster La Real,0
Almonte,33
Almoradí,7
Almorox,8
Almoster,0
Almudaina,0
Almudévar,1
Almunia De San Juan,0
Almuniente,0
Almuradiel,1
Almussafes,1
Almuñécar,70
Almàssera,1
Almáchar,0
Almócita,0
Alobras,0
Alocén,0
Alonsotegi,12
Alosno,0
Alovera,6
Alozaina,0
Alp,0
Alpandeire,2
Alpanseque,0
Alpartir,0
Alpedrete,26
Alpens,1
Alpera,0
Alpeñés,0
Alpicat,9
Alpuente,0
Alpujarra De La Sierra,2
Alquife,1
Alquézar,1
Alsodux,1
Alt Àneu,1
Altable,0
Altafulla,1
Altarejos,1
Altea,3
Altorricón,0
Altsasu/Alsasua,2
Altura,1
Altzaga,0
Altzo,0
Alustante,0
Alzira,19
Alàs I Cerc,1
Alájar,3
Alía,1
Alòs De Balaguer,0
Amavida,0
Amayuelas De Arriba,0
Ambel,0
Ambite,7
Amer,9
Ames,20
Ameyugo,1
Amezketa,0
Amieva,0
Amoeiro,0
Amorebieta-Etxano,39
Amoroto,9
Amposta,4
Ampudia,0
Ampuero,0
Amurrio,7
Amusco,0
Amusquillo,0
Améscoa Baja,8
Anadón,0
Anaya,1
Anaya De Alba,0
Anchuelo,2
Anchuras,0
Ancín/Antzin,4
Andavías,0
Andilla,0
Andoain,50
Andorra,0
Andosilla,2
Andratx,17
Andújar,0
Anento,0
Anglesola,0
Anglès,5
Anguciana,0
Anguiano,0
Anguita,0
Anguix,1
Angón,0
Angüés,3
Anievas,1
Aniñón,0
Anna,0
Anoeta,0
Anquela Del Ducado,1
Anquela Del Pedregal,0
Ansoáin/Antsoain,1
Ansó,0
Antas,0
Antas De Ulla,2
Antella,1
Antequera,11
Antigua,0
Antigüedad,0
Antillón,1
Antzuola,1
Anue,3
Aoiz/Agoitz,2
Arabayona De Mógica,0
Aracena,4
Arafo,0
Aragüés Del Puerto,0
Arahal,0
Arahuetes,0
Araitz,0
Arakaldo,0
Arakil,6
Arama,0
Aramaio,9
Aranarache/Aranaratxe,1
Arancón,0
Aranda De Duero,5
Aranda De Moncayo,0
Arandilla,1
Arandilla Del Arroyo,0
Aranga,3
Aranguren,21
Aranjuez,59
Arano,0
Arantza,1
Arantzazu,3
Aranzueque,0
Arapiles,0
Aras,0
Aras De Los Olmos,0
Arauzo De Miel,1
Arauzo De Salce,0
Arauzo De Torre,1
Arañuel,0
Arbancón,1
Arbeca,0
Arbeteta,0
Arbizu,1
Arbo,0
Arboleas,0
Arbolí,0
Arbúcies,8
Arcas,0
Arce/Artzi,2
Arcediano,2
Arcenillas,0
Archena,1
Archidona,2
Arcicóllar,0
Arconada,0
Arcones,1
Arcos,2
Arcos De Jalón,1
Arcos De La Frontera,4
Arcos De La Polvorosa,0
Arcos De La Sierra,1
Arcos De Las Salinas,0
Ardales,3
Ardisa,0
Ardón,0
Areatza,4
Arellano,0
Arenales De San Gregorio,0
Arenas,0
Arenas De Iguña,0
Arenas De San Juan,0
Arenas De San Pedro,0
Arenas Del Rey,0
Arenillas,0
Arenillas De Riopisuerga,0
Arens De Lledó,0
Arenys De Mar,8
Arenys De Munt,15
Arenzana De Abajo,0
Arenzana De Arriba,0
Ares,5
Ares Del Maestrat,0
Areso,1
Aretxabaleta,0
Arevalillo,0
Arevalillo De Cega,0
Argamasilla De Alba,0
Argamasilla De Calatrava,0
Arganda Del Rey,67
Arganza,0
Argavieso,0
Argañín,0
Argecilla,0
Argelaguer,2
Argelita,0
Argente,0
Argentona,7
Argençola,0
Argoños,3
Arguedas,6
Arguis,0
Arguisuelas,0
Argujillo,0
Argés,0
Aria,0
Ariany,1
Aribe,1
Arico,0
Arija,3
Ariza,0
Ariño,0
Arjona,0
Arjonilla,2
Arlanzón,2
Armallones,1
Armañanzas,0
Armenteros,0
Armilla,36
Armiñón,1
Armuña,0
Armuña De Almanzora,0
Armuña De Tajuña,1
Arnedillo,0
Arnedo,0
Arnes,0
Arnuero,6
Aroche,0
Arona,0
Arquillinos,0
Arquillos,1
Arrabalde,0
Arraia-Maeztu,9
Arrancacepas,0
Arrankudiaga-Zollo,2
Arrasate/Mondragón,22
Arratzu,0
Arratzua-Ubarrundia,7
Arraya De Oca,0
Arrecife,0
Arredondo,0
Arres,0
Arriate,0
Arrieta,2
Arrigorriaga,12
Arroba De Los Montes,0
Arroyo De La Encomienda,67
Arroyo De La Luz,2
Arroyo De Las Fraguas,0
Arroyo De San Serván,0
Arroyo Del Ojanco,0
Arroyomolinos,19
Arroyomolinos De La Vera,0
Arroyomolinos De León,4
Arruazu,1
Arróniz,2
Arrúbal,1
Arsèguel,1
Artajona,2
Artana,1
Artazu,0
Artea,10
Arteixo,34
Artenara,0
Artesa De Lleida,2
Artesa De Segre,3
Artieda,0
Artzentales,30
Artziniega,12
Artà,6
Artés,1
Arucas,0
Arzúa,12
Arándiga,0
Arén,3
Arévalo,2
Arévalo De La Sierra,0
As Neves,8
As Nogais,2
As Pontes De García Rodríguez,1
As Somozas,2
Ascó,0
Aspa,1
Aspariegos,0
Asparrena,8
Aspe,0
Asteasu,0
Astigarraga,1
Astorga,3
Astudillo,1
Asturianos,1
Asín,0
Atajate,0
Atalaya,0
Atalaya Del Cañavate,0
Atanzón,0
Atapuerca,0
Ataquines,0
Atarfe,61
Ataun,0
Atea,0
Ateca,0
Atez/Atetz,0
Atienza,0
Atxondo,19
Atzeneta D'Albaida,0
Atzeneta Del Maestrat,0
Aulesti,0
Auritz/Burguete,2
Ausejo,0
Ausejo De La Sierra,0
Autilla Del Pino,0
Autillo De Campos,0
Autol,0
Auñón,0
Aveinte,0
Avellaneda,0
Avellanosa De Muñó,0
Avilés,90
Avinyonet De Puigventós,0
Avinyonet Del Penedès,0
Avinyó,5
Avià,2
Avión,0
Ayala/Aiara,29
Ayamonte,14
Ayegui/Aiegi,10
Ayerbe,1
Ayllón,0
Ayna,3
Ayora,0
Ayoó De Vidriales,0
Ayuela,0
Ayódar,0
Azagra,0
Azaila,0
Azanuy-Alins,0
Azara,1
Azkoitia,5
Azlor,0
Aznalcázar,2
Aznalcóllar,0
Azofra,0
Azpeitia,14
Azuaga,0
Azuara,0
Azuelo,0
Azuqueca De Henares,29
Azután,0
Azuébar,0
Aín,0
Aínsa-Sobrarbe,3
Añana,4
Añe,0
Añora,0
Añorbe,1
Añover De Tajo,0
Añover De Tormes,0
Añón De Moncayo,0
Babilafuente,1
Bacares,0
Badajoz,94
Badalona,271
Badarán,0
Badia Del Vallès,6
Badolatosa,0
Badules,0
Baena,0
Baeza,14
Bagà,1
Bagüés,0
Bahabón,0
Bahabón De Esgueva,0
Baides,0
Bailo,0
Bailén,0
Baiona,6
Baix Pallars,1
Bakaiku,1
Bakio,17
Balaguer,1
Balanegra,0
Balazote,0
Balboa,0
Balconchán,0
Baldellou,0
Baleira,4
Balenyà,0
Baliarrain,0
Ballesteros De Calatrava,0
Ballobar,0
Balmaseda,7
Balones,1
Balsa De Ves,0
Balsareny,3
Baltanás,0
Baltar,0
Banastás,1
Bande,5
Banyalbufar,8
Banyeres De Mariola,0
Banyeres Del Penedès,10
Banyoles,22
Baquerín De Campos,0
Barajas De Melo,1
Barakaldo,113
Baralla,0
Baraona,0
Barañáin/Barañain,20
Barbadillo,0
Barbadillo De Herreros,0
Barbadillo Del Mercado,1
Barbadillo Del Pez,0
Barbadás,2
Barbalos,0
Barbarin,1
Barbastro,1
Barbate,2
Barbens,0
Barberà De La Conca,1
Barberà Del Vallès,13
Barbolla,0
Barbués,0
Barbuñales,1
Barca,0
Barcarrota,0
Barcelona,1809
Barceo,0
Barchín Del Hoyo,1
Barcial De La Loma,0
Barcial Del Barco,1
Barcience,0
Barcones,0
Bardallur,0
Bardenas Reales,0
Bareyo,3
Bargas,6
Bargota,1
Barillas,1
Barjas,0
Barlovento,0
Barracas,0
Barrachina,0
Barrado,0
Barrax,0
Barreiros,2
Barrika,10
Barrio De Muñó,0
Barriopedro,0
Barrios De Colina,0
Barro,5
Barromán,0
Barruecopardo,1
Barruelo De Santullán,1
Barruelo Del Valle,1
Barrundia,15
Barx,3
Barxeta,0
Barásoain,1
Basaburua,0
Basardilla,1
Basauri,32
Basconcillos Del Tozo,3
Bascuñana,0
Bascuñana De San Pedro,0
Bassella,0
Batea,0
Baterno,0
Batres,3
Bausen,1
Bayarque,0
Bayubas De Abajo,0
Bayubas De Arriba,0
Bayárcal,1
Baza,0
Baztan,10
Baélls,0
Bañares,0
Bañobárez,0
Baños De Ebro/Mañueta,2
Baños De La Encina,0
Baños De Molgas,0
Baños De Montemayor,0
Baños De Rioja,0
Baños De Río Tobía,0
Baños De Tajo,0
Baños De Valdearados,1
Bañuelos,0
Bañuelos De Bureba,0
Bañón,0
Bea,0
Beade,0
Beamud,1
Beariz,0
Beas,0
Beas De Granada,9
Beas De Guadix,0
Beas De Segura,0
Beasain,5
Becedas,0
Becedillas,0
Beceite,0
Becerreá,3
Becerril De Campos,0
Becerril De La Sierra,16
Becilla De Valderaduey,0
Bedia,4
Bedmar Y Garcíez,0
Begonte,2
Begues,33
Begur,6
Begíjar,2
Beintza-Labaien,1
Beire,2
Beires,0
Beizama,0
Bejís,0
Belalcázar,0
Belascoáin,0
Belauntza,0
Belbimbre,1
Belchite,0
Beleña,0
Belianes,1
Belinchón,0
Bell-Lloc D'Urgell,2
Bellaguarda,1
Bellcaire D'Empordà,0
Bellcaire D'Urgell,0
Bellmunt D'Urgell,0
Bellmunt Del Priorat,0
Bello,0
Bellprat,0
Bellpuig,3
Bellreguard,0
Bellvei,0
Bellver De Cerdanya,1
Bellvís,0
Bellús,0
Belmez,0
Belmonte,0
Belmonte De Campos,0
Belmonte De Gracián,0
Belmonte De Miranda,4
Belmonte De San José,0
Belmonte De Tajo,2
Belmontejo,0
Belorado,1
Belver De Cinca,2
Belver De Los Montes,0
Belvís De La Jara,1
Belvís De Monroy,0
Bembibre,0
Benabarre,2
Benacazón,0
Benadalid,0
Benafarces,0
Benafer,1
Benafigos,0
Benaguasil,0
Benagéber,0
Benahadux,6
Benahavís,2
Benalauría,0
Benalmádena,37
Benalup-Casas Viejas,0
Benalúa,0
Benalúa De Las Villas,0
Benamargosa,0
Benamaurel,0
Benamejí,0
Benamocarra,0
Benaocaz,1
Benaoján,0
Benarrabá,0
Benasau,0
Benasque,5
Benassal,0
Benatae,0
Benavent De Segrià,1
Benavente,25
Benavides,1
Benavites,0
Benegiles,0
Beneixama,0
Beneixida,0
Benejúzar,1
Benetússer,0
Benferri,2
Beniarbeig,6
Beniardà,0
Beniarjó,0
Beniarrés,0
Beniatjar,0
Benicarló,0
Benicolet,0
Benicull De Xúquer,0
Benicàssim/Benicasim,60
Benidoleig,2
Benidorm,203
Beniel,0
Benifairó De La Valldigna,0
Benifairó De Les Valls,0
Benifaió,0
Benifallet,0
Benifallim,0
Benifato,0
Beniflá,0
Benigembla,1
Benigànim,0
Benijófar,2
Benilloba,0
Benillup,0
Benimantell,1
Benimarfull,0
Benimassot,0
Benimeli,2
Benimodo,0
Benimuslem,0
Beniparrell,0
Benirredrà,0
Benissa,6
Benissanet,0
Benissanó,0
Benissoda,1
Benissuera,0
Benitagla,1
Benizalón,1
Benlloc,2
Benquerencia,0
Benquerencia De La Serena,0
Bentarique,1
Benuza,0
Bera,2
Berango,4
Berantevilla,1
Beranuy,0
Berastegi,0
Beratón,0
Berbegal,1
Berberana,0
Berbinzana,2
Berceo,0
Bercero,1
Berceruelo,1
Bercial,0
Bercial De Zapardiel,0
Bercianos Del Páramo,0
Bercianos Del Real Camino,0
Bercimuel,0
Berdejo,0
Berga,8
Bergara,5
Bergasa,0
Bergasillas Bajera,0
Berge,0
Bergondo,42
Beriáin,0
Berja,0
Berlanga,0
Berlanga De Duero,0
Berlanga Del Bierzo,0
Berlangas De Roa,0
Bermellar,0
Bermeo,15
Bermillo De Sayago,1
Bernardos,0
Bernedo,6
Berninches,0
Bernuy De Porreros,0
Bernuy-Zapardiel,0
Berriatua,13
Berrioplano/Berriobeiti,6
Berriozar,8
Berriz,17
Berrobi,0
Berrocal,0
Berrocal De Huebra,0
Berrocal De Salvatierra,0
Berrocalejo,0
Berrocalejo De Aragona,0
Berrueces,1
Berrueco,0
Bertizarana,2
Berzocana,0
Berzosa De Bureba,0
Berzosa Del Lozoya,4
Berzosilla,0
Besalú,5
Bescanó,16
Betancuria,0
Betanzos,11
Betelu,0
Beteta,0
Betxí,2
Beuda,0
Bezares,0
Bezas,0
Biar,0
Bicorp,0
Bidania-Goiatz,0
Bidaurreta,1
Biel,0
Bielsa,1
Bienservida,0
Bienvenida,0
Bierge,1
Biescas,6
Bigastro,6
Bigues I Riells Del Fai,16
Bijuesca,0
Bilbao,596
Bimenes,4
Binaced,0
Binissalem,0
Binéfar,1
Biosca,0
Biota,0
Bisaurri,0
Biscarrués,0
Bisimbre,0
Biure,0
Biurrun-Olcoz,2
Blacos,0
Blanca,1
Blancafort,0
Blancas,0
Blanes,34
Blascomillán,0
Blasconuño De Matacabras,0
Blascosancho,0
Blecua Y Torres,0
Blesa,1
Bliecos,0
Boada,0
Boada De Campos,0
Boadella I Les Escaules,0
Boadilla De Rioseco,1
Boadilla Del Camino,0
Boadilla Del Monte,99
Boal,0
Bobadilla,0
Bobadilla Del Campo,0
Boborás,0
Boca De Huérgano,2
Bocairent,0
Boceguillas,0
Bocigas,0
Bocos De Duero,1
Bodonal De La Sierra,2
Boecillo,5
Bogajo,0
Bogarra,0
Bohonal De Ibor,0
Bohoyo,0
Boimorto,4
Boiro,37
Bolaños De Calatrava,0
Bolaños De Campos,0
Bolbaite,0
Bollullos De La Mitación,1
Bollullos Par Del Condado,0
Boltaña,0
Bolulla,1
Bolvir,1
Bonansa,0
Bonares,2
Bonastre,1
Bonete,1
Boniches,0
Bonilla De La Sierra,0
Bonrepòs I Mirambell,1
Boqueixón,7
Boquiñeni,0
Borau,0
Bordalba,0
Bordils,4
Bordón,0
Borja,0
Borjabad,0
Bormujos,10
Bornos,2
Borobia,0
Borox,1
Borrassà,0
Borredà,1
Borrenes,0
Borriana/Burriana,3
Borriol,8
Bossòst,2
Bot,0
Botarell,0
Botija,0
Botorrita,3
Bovera,0
Bozoó,1
Boñar,0
Brabos,0
Brahojos De Medina,0
Braojos,1
Brazacorta,1
Brazatortas,0
Brazuelo,0
Brañosera,0
Brea De Aragón,0
Brea De Tajo,1
Breda,0
Brenes,0
Bretocino,0
Bretó,0
Breña Alta,0
Breña Baja,0
Brieva,1
Brieva De Cameros,0
Brihuega,1
Brime De Sog,0
Brime De Urz,1
Brincones,0
Briones,0
Briviesca,3
Briñas,1
Brión,32
Bronchales,0
Broto,1
Brozas,0
Brunete,6
Brunyola I Sant Martí Sapresa,2
Bràfim,1
Buberos,0
Bubierca,0
Bubión,0
Buciegas,0
Budia,0
Buenache De Alarcón,0
Buenache De La Sierra,0
Buenamadre,0
Buenaventura,1
Buenavista,0
Buenavista De Valdavia,0
Buenavista Del Norte,0
Buendía,0
Bueu,1
Bueña,0
Bufali,0
Bugarra,0
Bugedo,1
Buitrago,0
Buitrago Del Lozoya,2
Bujalance,0
Bujalaro,0
Bujaraloz,1
Bularros,0
Bulbuente,0
Bullas,1
Buniel,2
Bunyola,26
Burbáguena,0
Burela,2
Bureta,0
Burganes De Valverde,0
Burgo De Osma-Ciudad De Osma,3
Burgohondo,0
Burgos,471
Burgui/Burgi,1
Burguillos,0
Burguillos De Toledo,0
Burguillos Del Cerro,0
Burjassot,11
Burlada/Burlata,15
Burujón,0
Burón,0
Busot,14
Busquístar,2
Bustares,1
Bustarviejo,18
Bustillo De Chaves,1
Bustillo De La Vega,0
Bustillo Del Oro,0
Bustillo Del Páramo,1
Bustillo Del Páramo De Carrión,0
Busto De Bureba,0
Busturia,13
Buñol,0
Buñuel,0
Bàscara,2
Bádenas,0
Báguena,0
Bárboles,1
Bárcabo,0
Bárcena De Campos,0
Bárcena De Cicero,7
Bárcena De Pie De Concha,3
Báscones De Ojeda,0
Bèlgida,2
Bédar,0
Béjar,1
Bélmez De La Moraleda,1
Bérchules,2
Bétera,19
Bóveda,1
Bóveda Del Río Almar,0
Búger,2
Cabacés,1
Caballar,0
Cabana De Bergantiños,8
Cabanabona,0
Cabanas,10
Cabanelles,0
Cabanes,3
Cabanillas,0
Cabanillas De La Sierra,2
Cabanillas Del Campo,6
Cabañas De Ebro,0
Cabañas De La Sagra,2
Cabañas De Polendos,0
Cabañas De Sayago,0
Cabañas De Yepes,0
Cabañas Del Castillo,2
Cabañas Raras,0
Cabañes De Esgueva,1
Cabeza Alta,0
Cabeza Del Buey,0
Cabeza Del Caballo,0
Cabeza La Vaca,0
Cabezabellosa,0
Cabezabellosa De La Calzada,0
Cabezamesada,0
Cabezarados,0
Cabezarrubias Del Puerto,0
Cabezas De Alambre,0
Cabezas Del Pozo,1
Cabezas Del Villar,0
Cabezas Rubias,0
Cabezuela,0
Cabezuela Del Valle,1
Cabezón De Cameros,0
Cabezón De La Sal,5
Cabezón De La Sierra,0
Cabezón De Liébana,1
Cabezón De Pisuerga,4
Cabezón De Valderaduey,0
Cabizuela,0
Cabolafuente,0
Cabra,6
Cabra De Mora,0
Cabra Del Camp,0
Cabra Del Santo Cristo,3
Cabrales,10
Cabranes,0
Cabredo,0
Cabrejas Del Campo,0
Cabrejas Del Pinar,0
Cabrera D'Anoia,3
Cabrera De Mar,14
Cabrerizos,8
Cabrero,0
Cabreros Del Monte,0
Cabreros Del Río,0
Cabrillanes,0
Cabrillas,0
Cabrils,20
Cabuérniga,7
Cabó,0
Cacabelos,2
Cachorrilla,0
Cacín,2
Cadalso,2
Cadalso De Los Vidrios,2
Cadaqués,0
Cadreita,2
Cadrete,4
Cala,5
Calabazas De Fuentidueña,0
Calaceite,0
Calaf,4
Calafell,102
Calahorra,1
Calahorra De Boedo,0
Calamocha,0
Calamonte,0
Calanda,0
Calasparra,0
Calatayud,0
Calatañazor,2
Calatorao,0
Calañas,0
Calcena,0
Caldas De Reis,10
Caldearenas,0
Calders,0
Caldes D'Estrac,5
Caldes De Malavella,6
Caldes De Montbui,66
Calella,2
Calera De León,0
Calera Y Chozas,0
Caleruega,0
Caleruela,0
Calicasas,3
Calldetenes,8
Calles,0
Callosa D'En Sarrià,1
Callosa De Segura,4
Callús,1
